date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:03	223431/223431	---M--	200	added ('OK')	application/postscript	etag:%221eb8f0d-368c7-3f310d01%22	dinosaur.compilertools.net/flex/flex.ps	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/flex/flex.ps	(from dinosaur.compilertools.net/)
10:26:04	6424/6424	---M--	200	added ('OK')	text/html	etag:%221774f1e-1918-3f310cfe%22	dinosaur.compilertools.net/bison/manpage.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/bison/manpage.html	(from dinosaur.compilertools.net/)
10:26:06	6411/6411	---M--	200	added ('OK')	image/gif	etag:%221774f20-190b-3f310cbb%22	dinosaur.compilertools.net/dragon.gif	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/dragon.gif	(from dinosaur.compilertools.net/)
10:26:08	1886/1886	---M--	200	added ('OK')	text/html	etag:%221eb8f0e-75e-3f310d05%22	dinosaur.compilertools.net/flex/flex_1.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/flex/flex_1.html	(from dinosaur.compilertools.net/flex/index.html)
10:26:08	15241/15241	---M--	200	added ('OK')	image/gif	etag:%221774f22-3b89-3f310cc5%22	dinosaur.compilertools.net/tiger.gif	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/tiger.gif	(from dinosaur.compilertools.net/)
10:26:09	828/828	---M--	200	added ('OK')	text/html	etag:%221eb8f19-33c-3f310d27%22	dinosaur.compilertools.net/flex/flex_2.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/flex/flex_2.html	(from dinosaur.compilertools.net/flex/index.html)
10:26:11	2554/2554	---M--	200	added ('OK')	text/html	etag:%221eb8f20-9fa-3f310d3d%22	dinosaur.compilertools.net/flex/flex_3.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/flex/flex_3.html	(from dinosaur.compilertools.net/flex/index.html)
10:26:11	1460/1460	---M--	200	added ('OK')	text/html	etag:%221eb8f21-5b4-3f310d40%22	dinosaur.compilertools.net/flex/flex_4.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/flex/flex_4.html	(from dinosaur.compilertools.net/flex/index.html)
10:26:13	3641/3641	---M--	200	added ('OK')	text/html	etag:%221eb8f23-e39-3f310d46%22	dinosaur.compilertools.net/flex/flex_6.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/flex/flex_6.html	(from dinosaur.compilertools.net/flex/index.html)
10:26:15	3608/3608	---M--	200	added ('OK')	text/html	etag:%221eb8f22-e18-3f310d43%22	dinosaur.compilertools.net/flex/flex_5.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/flex/flex_5.html	(from dinosaur.compilertools.net/flex/index.html)
10:26:15	8684/8684	---M--	200	added ('OK')	text/html	etag:%221eb8f24-21ec-3f310d49%22	dinosaur.compilertools.net/flex/flex_7.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/flex/flex_7.html	(from dinosaur.compilertools.net/flex/index.html)
10:26:18	4449/4449	---M--	200	added ('OK')	text/html	etag:%221eb8f25-1161-3f310d4c%22	dinosaur.compilertools.net/flex/flex_8.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/flex/flex_8.html	(from dinosaur.compilertools.net/flex/index.html)
10:26:20	9841/9841	---M--	200	added ('OK')	text/html	etag:%221eb8f26-2671-3f310d4f%22	dinosaur.compilertools.net/flex/flex_9.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/flex/flex_9.html	(from dinosaur.compilertools.net/flex/index.html)
10:26:22	5626/5626	---M--	200	added ('OK')	text/html	etag:%221eb8f0f-15fa-3f310d08%22	dinosaur.compilertools.net/flex/flex_10.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/flex/flex_10.html	(from dinosaur.compilertools.net/flex/index.html)
10:26:25	11132/11132	---M--	200	added ('OK')	text/html	etag:%221eb8f10-2b7c-3f310d0b%22	dinosaur.compilertools.net/flex/flex_11.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/flex/flex_11.html	(from dinosaur.compilertools.net/flex/index.html)
10:26:26	7042/7042	---M--	200	added ('OK')	text/html	etag:%221eb8f11-1b82-3f310d0e%22	dinosaur.compilertools.net/flex/flex_12.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/flex/flex_12.html	(from dinosaur.compilertools.net/flex/index.html)
10:26:27	2292/2292	---M--	200	added ('OK')	text/html	etag:%221eb8f12-8f4-3f310d11%22	dinosaur.compilertools.net/flex/flex_13.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/flex/flex_13.html	(from dinosaur.compilertools.net/flex/index.html)
10:26:27	379671/379671	---M--	200	added ('OK')	application/postscript	etag:%221774f0d-5cb17-3f310cc8%22	dinosaur.compilertools.net/bison/bison.ps	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/bison/bison.ps	(from dinosaur.compilertools.net/)
10:26:28	1623/1623	---M--	200	added ('OK')	text/html	etag:%221eb8f15-657-3f310d1a%22	dinosaur.compilertools.net/flex/flex_16.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/flex/flex_16.html	(from dinosaur.compilertools.net/flex/index.html)
10:26:30	3201/3201	---M--	200	added ('OK')	text/html	etag:%221eb8f14-c81-3f310d17%22	dinosaur.compilertools.net/flex/flex_15.html	C:/My%20Web%20Sites/yacc/dinosaur.compilertools.net/flex/flex_15.html	(from dinosaur.compilertools.net/flex/index.html)
